site,aoi,incision,angleid,angle
Manot,1,4,1,167.708504
Manot,1,6,2,161.650746
Manot,1,6,3,167.763763
Manot,1,6,4,157.603927
Manot,1,5,5,165.325911
Manot,1,5,6,162.157102
Manot,1,4,7,155.609744
Manot,1,5,8,168.142099
Manot,1,8,9,165.651328
Manot,1,4,10,168.154478
Manot,1,4,11,163.34889
Manot,1,4,12,168.043507
Manot,1,2,13,161.671124
Manot,1,2,14,170.607879
Manot,1,3,15,163.776734
Manot,1,2,16,167.632765
Manot,1,2,17,169.025819
Manot,1,2,18,169.293574
Manot,1,7,19,151.922607
Manot,1,1,20,167.740122
Manot,2.1,3,1,145.997039
Manot,2.1,3,2,159.446087
Manot,2.1,1,3,148.255739
Manot,2.1,1,4,150.141229
Manot,2.1,2,5,155.881201
Manot,2.1,2,6,153.124597
Manot,2.1,4,7,159.995799
Manot,2.1,4,8,161.511119
Manot,2.1,1,9,156.92587
Manot,2.2,1,1,159.32024
Manot,2.2,1,2,151.268652
Manot,2.2,1,3,149.807958
Manot,2.2,1,4,160.162109
Manot,3,1,1,159.932353
Manot,3,1,2,161.215719
Manot,3,1,3,158.252855
Manot,3,1,4,152.878606
Qafzeh,1,10,1,141.32951
Qafzeh,1,7,2,145.37492
Qafzeh,1,6,3,165.204207
Qafzeh,1,3,4,167.911901
Qafzeh,1,10,5,155.653578
Qafzeh,1,7,6,159.087874
Qafzeh,1,7,7,163.403005
Qafzeh,1,9,8,155.328929
Qafzeh,1,9,9,157.437018
Qafzeh,1,9,10,159.012992
Qafzeh,1,2,11,160.289599
Qafzeh,1,2,12,165.439591
Qafzeh,1,4,13,153.988021
Qafzeh,1,4,14,165.26961
Qafzeh,1,8,15,159.001824
Qafzeh,1,6,16,164.659819
Qafzeh,1,8,17,164.356675
Qafzeh,1,4,18,160.490084
Qafzeh,1,4,19,163.951677
Qafzeh,1,4,20,166.162904
Qafzeh,1,1,21,154.177168
Qafzeh,1,5,22,163.982754
Quneitra,1,7,1,160.207483
Quneitra,1,4,2,151.62406
Quneitra,1,4,3,150.961559
Quneitra,1,4,4,152.065673
Quneitra,1,6,5,159.744889
Quneitra,1,5,6,163.948733
Quneitra,1,5,7,162.433859
Quneitra,1,5,8,158.720624
Quneitra,1,5,9,158.475787
Quneitra,1,4,10,156.743422
Quneitra,1,2,11,158.792139
Quneitra,1,2,12,160.186737
Quneitra,1,6,13,153.840637
Quneitra,1,6,14,165.508644
Quneitra,1,2,15,155.758137
Quneitra,1,4,16,161.497145
Quneitra,1,3,17,140.395265
Quneitra,1,3,18,162.813267
Quneitra,1,1,19,153.506084
Quneitra,1,3,20,161.05711
Quneitra,1,2,21,159.675373
Quneitra,1,2,22,162.156964
Quneitra,1,5,23,164.053582
Quneitra,2,3,1,140.368757
Quneitra,2,2,2,132.027115
Quneitra,2,3,3,144.431749
Quneitra,2,1,4,149.226485
Quneitra,2,1,5,152.930678
Quneitra,2,1,6,139.554678
Quneitra,2,6,7,154.969493
Quneitra,2,3,8,151.806271
Quneitra,2,4,9,156.131377
Quneitra,2,5,10,159.332253
Quneitra,2,1,11,160.795122
Quneitra,2,1,12,157.822734
Quneitra,2,5,13,152.662959
Quneitra,2,5,14,162.641557
Quneitra,2,3,15,161.040573
Quneitra,2,2,16,163.234253
Quneitra,2,3,17,165.54285
Quneitra,2,2,18,158.747435
Quneitra,2,2,19,159.17695
Quneitra,2,2,20,165.326373
Quneitra,2,4,21,164.362292
Quneitra,2,4,22,163.933867
Quneitra,2,1,23,154.539658
Quneitra,2,3,24,168.234649
Quneitra,2,5,25,169.372793
Quneitra,2,5,26,172.585822
Quneitra,2,3,27,147.876669
Quneitra,2,3,28,143.921281
Quneitra,2,6,29,154.132715
Quneitra,2,3,30,154.132715
Quneitra,2,7,31,146.849879
Quneitra,2,7,32,129.614446
