site;aoi;incision;profile;horizontaldistance;maximumdepth;holearea;angle
amud1;1;11;2;253.2;10.62;1366;163.1
qz;2;3;2;473.1;9.05;1378;168.9
amud1;1;20;1;300.3;11.61;1710;167.1
amud1;2;8;1;293.2;12.49;1718;161.8
amud1;1;11;1;261.4;14.43;1877;162.5
amud1;1;4;3;277;16.01;2043;158.3
amud1;1;20;3;324.5;15.51;2048;156.4
amud1;2;10;2;250.1;15.22;2110;165.7
amud1;1;8;3;251.8;16.03;2124;156.2
amud1;2;9;3;406.9;14.4;2237;161.4
amud1;1;11;3;233.1;20.29;2263;156
amud1;1;16;3;227.1;15.6;2263;160.8
amud1;1;14;1;307.1;16.58;2281;157.6
manot;3;11;2;304;16.84;2293;157.2
amud1;1;13;3;292.2;16.08;2336;161.6
amud1;1;13;1;305.7;17.75;2400;160.5
amud1;2;10;1;240.9;16.84;2416;164.6
amud1;2;9;2;295.8;17.58;2443;156.3
amud1;1;8;2;244.6;18.95;2446;152.9
amud1;1;20;2;277;17.52;2486;160
amud1;1;14;3;311.6;26.91;2535;158
amud1;1;19;3;350.8;20.45;2790;157.1
amud1;1;19;2;361.1;19.89;3023;159.5
amud1;1;12;1;340.3;20.84;3062;154.8
amud1;2;4;2;269.2;24.29;3077;153.5
amud1;1;12;2;306.4;18.76;3259;163
amud1;2;2;1;254.6;27.5;3322;149.7
amud1;1;21;3;358.2;23.19;3741;154.7
amud1;2;9;1;389.3;21.98;3760;159.8
amud1;1;15;2;427.4;21.87;3945;156.4
qz;2;3;1;416.9;14.83;3960;166.2
amud1;1;16;2;375.4;23.29;4048;159.4
amud1;1;16;1;356.1;24.29;4058;156.8
manot;3;10;3;339.2;15.54;4132;171.2
amud1;1;14;2;322.8;28.83;4536;148.1
amud1;1;8;1;228.9;26.69;4651;146.1
amud1;1;21;2;404.6;26.29;4657;154.9
amud1;2;7;3;431.9;24.34;4698;159.3
amud1;2;5;3;302.9;26.28;4796;157.4
amud1;2;7;1;398.2;24.2;4838;164.3
amud1;2;3;1;413.7;23.91;4854;159.8
amud1;2;3;3;311.5;30.17;4875;149.4
amud1;2;7;2;397.5;26.19;4880;156.9
amud1;2;5;1;354.3;27.72;4906;156.6
amud1;3;6;3;323.1;25.91;4953;160.5
amud1;1;10;1;295.5;35.14;5074;132.5
amud1;2;8;2;260;32.44;5122;153.2
amud1;1;15;1;358;26.32;5247;156.2
amud1;1;21;1;348.8;29.92;5260;152.8
amud1;3;2;3;327;28.92;5358;157.3
amud1;2;4;3;327.9;26.19;5392;157.4
amud1;2;2;2;310.4;32.62;5430;147.7
amud1;1;18;3;310.5;34.96;5435;145.6
amud1;1;19;1;370.6;31.89;5441;148.5
qz;1;5;2;572.4;22.65;5477;159.8
amud1;2;6;2;335.9;27.04;5639;158.3
amud1;2;6;1;343.7;29.86;5705;154.6
amud1;2;5;2;342.2;29.44;5758;155.8
amud1;3;6;1;403.7;207.7;5762;160.8
amud1;1;12;3;370;31.04;5774;153.6
amud1;1;18;2;384.9;33.83;6066;152.3
amud1;2;10;3;361.3;29.37;6101;154.3
amud1;2;8;3;421.5;27.48;6268;158.6
amud1;1;4;1;321.4;37.22;6317;149.4
amud1;2;6;3;412.1;29.82;6415;160.5
qz;1;5;1;593.4;20.72;6493;166.9
amud1;1;18;1;381.2;37.52;6794;148.4
amud1;1;15;3;479.8;32.85;6886;157
amud1;3;5;1;355.8;38.84;7082;150.5
manot;3;6;1;308.7;34.52;7134;144.4
qz;2;2;3;567;26.98;7259;159.3
amud1;3;6;2;451.3;30.45;7263;161.3
amud1;2;2;3;322.5;46.84;7661;138.3
manot;3;7;2;402.8;39.06;7790;148.2
amud1;1;7;2;485.6;27.99;7978;163.5
amud1;2;3;2;414.7;38.14;8069;152.6
amud1;1;10;3;488.6;38.18;8074;150.8
amud1;1;10;2;377.4;40.8;8154;146
manot;3;9;1;473.1;37.43;8329;151.9
amud1;1;17;1;461.1;41.15;8597;141.9
amud1;2;4;1;386.7;40.11;8635;150.5
amud1;1;2;3;413.7;41.13;8675;149.4
qnrt;1;1;2;423.3;35.43;8746;152.1
qnrt;1;5;2;795.1;26.68;8782;166.4
amud1;1;9;2;426.9;37.82;8994;156.2
amud1;1;9;1;420.5;44.32;9038;149.2
qz;2;3;3;565.9;21.43;9113;167.7
manot;3;5;3;528.4;26.39;9146;162.3
manot;3;12;1;424.6;31;9253;165.1
amud1;3;2;1;356;47.69;9327;148.8
amud1;3;3;1;473.4;36.63;9460;157.3
amud1;1;17;2;432.5;47.77;9504;135.1
manot;3;10;2;459.9;35.56;9746;161.6
manot;3;6;2;366.1;46.91;9841;147.4
manot;3;11;1;311.3;37.15;9905;159.7
amud1;1;5;3;378.2;54.48;10155;137.7
qnrt;1;4;1;851;33.78;10182;165.2
amud1;2;1;3;346.3;52.02;10449;139.7
amud1;2;1;1;347.2;55.43;10704;130.8
amud1;1;4;2;359.9;49.97;10793;140.9
qz;1;5;3;837.2;29.39;11504;160.5
amud1;3;5;3;407.2;53.33;11505;138.8
manot;3;1;3;418.5;50.4;11573;139.7
qnrt;1;6;3;702;36.8;11585;159.6
amud1;1;2;2;360.8;52.74;11639;147.9
manot;3;4;2;537.3;42.8;11641;157.2
amud1;2;1;2;352;56.51;11676;134.3
amud1;1;3;1;496.3;44.41;11706;154.2
amud1;1;6;3;400.6;51.5;11810;147.4
amud1;3;2;2;500.9;44.84;11928;154.7
manot;3;4;3;513.6;45.19;12056;153.5
amud1;3;4;3;491.9;54.59;12085;148.9
amud1;1;6;2;523.4;42.68;12258;158.3
amud1;1;9;3;397;45.24;12315;153.8
amud1;3;3;3;429.8;49.65;12344;150.6
amud1;1;17;3;396.3;52.58;12408;146.2
manot;3;12;3;517.5;46.23;12521;153.8
manot;3;14;3;521.3;44.15;12647;149.1
manot;3;6;3;440.7;54.46;13153;147.4
amud1;1;7;3;445.6;54;13212;143.9
manot;3;3;3;443.6;58.45;13488;142.9
amud1;1;7;1;670.7;34.46;13518;160.1
manot;3;14;2;390.5;47.03;13570;153.5
amud1;1;2;1;368.9;55.22;13574;147
qnrt;1;1;3;573;44.16;13599;161
qnrt;1;1;1;488.7;47.18;13790;158.6
manot;3;5;2;500.7;41.05;14039;159.4
manot;3;7;1;421.1;51.83;14239;150.5
amud1;1;3;3;579;42.84;14267;162.6
qz;2;2;2;661;41.48;14783;159.3
qz;2;2;1;520.7;39.89;14946;156
amud1;3;1;3;408.6;50.36;15388;152
manot;3;3;1;464.2;57.63;15487;146.2
manot;3;4;1;590.6;46.34;15571;160
manot;3;5;1;604.9;41.32;15896;153.2
manot;3;7;3;441.8;61.04;15908;143.8
manot;3;8;2;543.2;51.39;16200;156.9
amud1;3;1;2;505.5;52.06;16247;151.4
manot;3;9;2;525.9;60.06;16335;146.2
qz;1;6;3;875.3;37.91;17125;169.2
amud1;1;5;2;542;73.8;17346;140.9
amud1;3;4;2;462.4;70.46;17437;143.1
manot;3;2;2;534.2;57.56;17629;150.2
amud1;3;3;2;480.7;75.8;17824;134.9
amud1;3;1;1;488.1;65.54;18770;142
manot;3;1;1;472.8;75.48;18908;138
manot;3;12;2;449.1;64.39;19033;142.7
qz;1;4;1;670.4;47.97;20216;157.4
manot;3;2;3;565.1;61.38;20441;150.2
amud1;1;1;1;662.8;57.98;20700;143.5
manot;3;1;2;618.4;67.42;20819;142.9
amud1;1;3;2;612.7;54.05;21045;146.5
qz;1;1;3;695.2;59.07;21065;145.3
amud1;1;6;1;539.2;68.42;21417;146.9
qz;1;3;2;949.3;49.35;21792;159.1
qnrt;1;6;1;907.8;41.11;22424;168.9
amud1;3;4;1;442.5;91.76;22907;129.3
manot;3;10;1;673.1;54.56;23833;148
qnrt;2;2;2;1044;35.41;23897;164.4
amud1;1;5;1;558.5;78.53;24018;138.2
qnrt;3;7;3;710.3;63.41;25024;150.9
amud1;3;5;2;438.4;93.45;25652;130
qz;1;3;3;774.4;54.77;26389;155.4
manot;3;9;3;571;83.43;27487;142.2
qnrt;1;3;2;621.1;80.29;27511;149.6
manot;3;14;1;429.9;87.03;27937;136
amud1;1;1;3;718;78.93;28593;122.7
manot;3;8;1;549.9;74.39;28666;153.5
qnrt;2;3;2;790;68.92;28727;157.2
amud1;1;1;2;685.4;82.46;30636;126.7
qz;1;6;2;892.3;66.99;30911;156.7
qz;2;1;1;815.5;73.55;31586;146
manot;3;3;2;529.7;94.4;33189;144.6
qz;1;6;1;921.7;75.96;34155;152.4
manot;3;8;3;629.6;94.29;34640;143
qnrt;2;3;3;816.3;75.5;36895;151.1
manot;3;13;2;586.4;96.56;38064;142.9
manot;3;13;3;797.7;92.31;38300;139.7
qnrt;3;7;2;755;66.39;38498;152.2
qnrt;1;7;1;726.4;86.21;39668;151.7
qz;1;3;1;722.3;88.36;43072;145.2
qnrt;1;5;3;993.9;78.28;43590;155.9
qz;1;2;1;733.4;91.1;44695;153.8
qnrt;3;2;3;1061;75.65;45030;156.1
qnrt;2;2;1;595.2;89.22;45197;149.9
manot;3;2;1;689.5;109.7;45298;143
qnrt;1;3;3;1008;90.73;47146;155.6
qnrt;1;2;1;946.4;92.44;48605;139
qnrt;3;1;1;903.5;107.2;49983;145.6
qz;2;1;3;1101;96.39;50113;145.3
manot;3;13;1;862.8;90.03;50785;153.7
qnrt;3;2;1;930.7;99.75;51523;147.5
qnrt;3;6;3;1158;85.67;54760;159.6
qnrt;3;4;2;921.4;81.15;56141;155.4
qnrt;1;7;3;936.4;102.6;57309;154.4
qz;2;1;2;1174;101.5;58111;149.2
qnrt;1;2;2;1124;111;59111;149.7
qnrt;3;4;1;1048;93.49;60484;145.1
qnrt;3;7;1;937;98.51;61923;152.6
qz;1;1;2;849;131.7;63492;140.3
qz;1;4;2;1230;88.89;64504;162.9
qz;1;4;3;1323;100.7;65234;154.9
qnrt;1;2;3;1442;109.8;68790;146.6
qnrt;1;6;2;1253;91.86;69719;154.9
qnrt;2;3;1;1124;115.8;73679;150.2
qnrt;1;4;2;1048;140.1;73707;135.2
qnrt;3;6;2;1062;118.6;76400;152.9
qnrt;3;6;1;954.6;135.3;78492;148.3
qnrt;1;4;3;1264;136.7;80048;145.6
qnrt;1;5;1;1581;82.34;80920;156.1
qnrt;3;4;3;1009;109.5;83076;154.5
qnrt;1;7;2;1256;113.6;88807;160.5
qz;1;1;1;1144;152.8;91459;135.3
qnrt;1;3;1;954.5;192.8;93414;128.9
qz;1;2;3;1607;109;96254;161.4
qnrt;3;1;3;1151;152.8;98534;139.6
qnrt;2;1;1;1328;141.1;100291;149.3
qnrt;3;1;2;1142;180.3;130475;140.4
qnrt;2;1;2;1571;164;138660;155.4
qnrt;3;2;2;1230;202.6;153325;129.2
qnrt;3;3;3;1173;218.4;160836;129.8
qz;1;2;2;1592;199.2;168305;146.7
qnrt;2;1;3;1319;225.9;173136;134.9
qnrt;3;3;2;1690;194.7;228519;131.5
qnrt;3;3;1;1460;380.4;412713;120.9
qnrt;2;2;3;1050;37.3;25789;165.9
amud1;1;13;2;207.9;5.867;549;167.8
manot;3;11;3;397.7;28.95;6974;159.9
amud2;1;11;2;253.4;10.60;1388;163.8
amud2;1;20;1;301.3;10.91;1680;166.8
amud2;1;11;1;263.4;14.33;1907;162.9
amud2;1;4;3;278;18.01;2040;159.3
amud2;1;20;3;325.5;15.48;2038;156.9
amud2;1;8;3;249.8;15.76;2134;156.2
amud2;1;11;3;229.1;20.29;2192;162
amud2;1;16;3;231.1;15.6;2263;161.8
amud2;1;14;1;308.1;16.58;2321;158.6
amud2;1;13;3;292.8;16.07;2355;161.9
amud2;1;13;1;310.7;17.65;2431;162.5
amud2;1;8;2;252.6;18.95;2466;156.9
amud2;1;20;2;279;17.52;2523;161
amud2;1;14;3;312.6;26.91;2355;159.3
amud2;1;19;3;350.1;20.44;2794;157.9
amud2;1;19;2;358.1;19.91;2977;159.8
amud2;1;12;1;342.3;21.04;3061;156.8
amud2;1;12;2;307.4;18.77;3259;163
