site,incision,angle.n,angle.min,angle.max,angle.mean,angle.median,angle.sd
Manot,1,12,148.255739,167.740122,156.325121,157.5893625,5.864204168999592
Manot,2,7,153.124597,170.607879,163.89099414285715,167.632765,7.067196566273045
Manot,3,3,145.997039,163.776734,156.40662,159.446087,9.271362268098633
Manot,4,7,155.609744,168.154478,163.48172014285714,163.34889,4.805046555714573
Manot,5,3,162.157102,168.142099,165.20837066666667,165.325911,2.9942292948223437
Manot,6,3,157.603927,167.763763,162.33947866666668,161.650746,5.1148148941407845
Manot,7,1,151.922607,151.922607,151.922607,151.922607,NA
Manot,8,1,165.651328,165.651328,165.651328,165.651328,NA
Qafzeh,1,1,154.177168,154.177168,154.177168,154.177168,NA
Qafzeh,2,2,160.289599,165.439591,162.864595,162.864595,3.6415942662564684
Qafzeh,3,1,167.911901,167.911901,167.911901,167.911901,NA
Qafzeh,4,5,153.988021,166.162904,161.9724592,163.951677,4.9572427750418555
Qafzeh,5,1,163.982754,163.982754,163.982754,163.982754,NA
Qafzeh,6,2,164.659819,165.204207,164.93201299999998,164.93201299999998,0.38494044639658076
Qafzeh,7,3,145.37492,163.403005,155.95526633333333,159.087874,9.413441734389732
Qafzeh,8,2,159.001824,164.356675,161.6792495,161.6792495,3.786451454343563
Qafzeh,9,3,155.328929,159.012992,157.25964633333334,157.437018,1.8484251616157876
Qafzeh,10,2,141.32951,155.653578,148.491544,148.491544,10.128645616977236
Quneitra,1,7,139.554678,160.795122,152.62506271428572,153.506084,6.839666377130801
Quneitra,2,10,132.027115,165.326373,157.5081476,159.4261615,9.343512666693243
Quneitra,3,12,140.368757,168.234649,153.46842966666665,152.969493,10.071899729334808
Quneitra,4,8,150.961559,164.362292,157.164924375,156.4373995,5.513878457977623
Quneitra,5,10,152.662959,172.585822,162.4227969,162.537708,5.683468357268152
Quneitra,6,5,153.840637,165.508644,157.6392756,154.969493,5.005345352503747
Quneitra,7,3,129.614446,160.207483,145.55726933333332,146.849879,15.337425078337382
